train/actor_loss,train/critic_loss,rollout/ep_rew_mean,train/n_updates,time/total_timesteps,time/fps,time/episodes,rollout/ep_len_mean,train/learning_rate,time/time_elapsed
3394.258469238281,81653.84328735352,-3729.70998387,83800,84000,150,840,100.0,0.001,556
3374.426748046875,106075.50827514648,-3540.6468273000005,84200,84400,150,844,100.0,0.001,559
3344.523366699219,87850.78423217773,-3418.5880414000007,84600,84800,150,848,100.0,0.001,562
3306.6553149414062,116400.91268554688,-3245.9746166499995,85000,85200,150,852,100.0,0.001,564
3274.770087890625,87735.86276855468,-3153.16905116,85400,85600,150,856,100.0,0.001,567
3243.6363134765625,94107.01488647463,-3085.20332116,85800,86000,150,860,100.0,0.001,570
3228.5743237304687,87504.85693359375,-2916.19331666,86200,86400,150,864,100.0,0.001,572
3185.426318359375,98248.64434570313,-2822.14512108,86600,86800,150,868,100.0,0.001,575
3135.6162182617186,88965.63188232422,-2716.07868769,87000,87200,150,872,100.0,0.001,578
3106.8671630859376,69093.13022827149,-2409.9744845699997,87400,87600,150,876,100.0,0.001,580
3074.745905761719,80225.77187866211,-2128.30800523,87800,88000,150,880,100.0,0.001,583
3040.6153149414063,69290.60346191406,-1703.4679721999996,88200,88400,150,884,100.0,0.001,586
3016.129655761719,79548.02849731446,-1292.4980625199996,88600,88800,150,888,100.0,0.001,588
2971.097824707031,64046.69006958008,-863.1420009799999,89000,89200,150,892,100.0,0.001,591
2917.8415258789064,91661.17834594726,-748.21445997,89400,89600,150,896,100.0,0.001,594
2878.515471191406,78079.20446533202,-635.41772575,89800,90000,150,900,100.0,0.001,596
2825.625185546875,62621.75110107423,-597.68597515,90200,90400,150,904,100.0,0.001,599
2771.60853515625,71485.06259277344,-597.85896698,90600,90800,150,908,100.0,0.001,602
2728.2022021484377,68620.79859191895,-521.93121154,91000,91200,150,912,100.0,0.001,604
2675.1023779296875,59425.505841064456,-524.62498587,91400,91600,150,916,100.0,0.001,607
2632.421616210937,61456.02030639649,-524.76272173,91800,92000,150,920,100.0,0.001,610
2566.391127929688,48502.25382385254,-527.08197909,92200,92400,150,924,100.0,0.001,612
2534.705151367188,48371.75780578613,-527.10008372,92600,92800,150,928,100.0,0.001,615
2459.0193701171875,57840.96393798827,-514.1615841,93000,93200,150,932,100.0,0.001,618
2421.697802734375,47309.223515625,-514.14822354,93400,93600,150,936,100.0,0.001,620
2365.82125,63763.303669433604,-513.35192822,93800,94000,150,940,100.0,0.001,623
2318.448410644531,55095.38238952637,-513.59310559,94200,94400,150,944,100.0,0.001,626
2285.340649414063,48495.269365234366,-513.83247491,94600,94800,150,948,100.0,0.001,628
2243.9482153320314,41205.477380981436,-509.95981761,95000,95200,150,952,100.0,0.001,631
2211.123935546875,40299.985860595705,-510.26647925,95400,95600,150,956,100.0,0.001,633
2173.1177331542967,46669.22614440918,-510.38362973,95800,96000,150,960,100.0,0.001,636
2125.7556896972656,36412.455447998036,-510.68872619,96200,96400,150,964,100.0,0.001,639
2091.721258544922,41769.50369018555,-512.04530301,96600,96800,150,968,100.0,0.001,641
2039.4100048828125,52979.89244873047,-512.07848487,97000,97200,150,972,100.0,0.001,644
2006.0644299316407,29956.211395874023,-512.49403339,97400,97600,150,976,100.0,0.001,647
1965.7655834960935,35534.08259094238,-512.56818094,97800,98000,150,980,100.0,0.001,649
1924.3093127441407,42037.70604003906,-513.00719275,98200,98400,150,984,100.0,0.001,652
1891.5255627441406,37267.66435913087,-514.32863116,98600,98800,150,988,100.0,0.001,655
1849.2434436035155,42938.88581298828,-514.4186299200001,99000,99200,150,992,100.0,0.001,657
1827.560633544922,36032.53979675293,-514.53709415,99400,99600,150,996,100.0,0.001,660
1773.6611987304684,28414.088217163087,-514.35435009,99800,100000,150,1000,100.0,0.001,663
1745.7879479980468,25170.739907836913,-514.20757288,100200,100400,150,1004,100.0,0.001,665
1727.515118408203,36710.015762939445,-514.30105384,100600,100800,150,1008,100.0,0.001,668
1687.8149536132812,36097.69094360351,-514.41807618,101000,101200,150,1012,100.0,0.001,671
1639.6211865234375,25571.287295532227,-511.94001925,101400,101600,150,1016,100.0,0.001,673
1597.2903527832032,31118.25908935547,-512.09803021,101800,102000,150,1020,100.0,0.001,676
1571.7513171386718,33068.546560058596,-509.98822859,102200,102400,150,1024,100.0,0.001,678
1541.1857092285156,27807.32282409668,-510.15217413,102600,102800,150,1028,100.0,0.001,681
1494.7097924804684,28426.284853515626,-510.02486526,103000,103200,150,1032,100.0,0.001,684
1472.9305249023434,31009.8929083252,-510.47895636,103400,103600,150,1036,100.0,0.001,686
1451.8176306152343,28413.528797607418,-510.49722291,103800,104000,150,1040,100.0,0.001,689
1432.5044763183594,23077.392791748047,-510.50155153000003,104200,104400,150,1044,100.0,0.001,692
1400.4118676757812,23892.872673950194,-510.38497215,104600,104800,150,1048,100.0,0.001,694
1366.2482214355466,24454.13059753418,-510.44635087,105000,105200,150,1052,100.0,0.001,697
1341.3663696289066,27996.39418029785,-510.16641964,105400,105600,150,1056,100.0,0.001,700
1343.1523461914062,21542.44329284668,-510.31036563,105800,106000,150,1060,100.0,0.001,702
1313.0155834960938,19314.223670654297,-510.31334781,106200,106400,150,1064,100.0,0.001,705
1296.8445178222655,19232.147600402837,-509.17644634,106600,106800,150,1068,100.0,0.001,708
1272.0771997070312,22316.45322631836,-509.30271483,107000,107200,150,1072,100.0,0.001,710
1255.139652709961,17909.810553894044,-508.85561726,107400,107600,150,1076,100.0,0.001,713
1236.717935180664,21428.906355590818,-508.85285408,107800,108000,150,1080,100.0,0.001,716
1222.7249340820313,17301.913659057616,-508.65350908,108200,108400,150,1084,100.0,0.001,718
1195.2073095703124,17810.040963134765,-507.88044264,108600,108800,150,1088,100.0,0.001,721
1165.079815673828,21144.911827697757,-507.92493384,109000,109200,150,1092,100.0,0.001,724
1140.0917565917966,20802.38868652344,-508.14457995,109400,109600,150,1096,100.0,0.001,726
1143.4644610595706,19294.777095947262,-508.06103059,109800,110000,150,1100,100.0,0.001,729
1128.8419360351566,17828.06294281006,-507.86598878,110200,110400,150,1104,100.0,0.001,732
1082.1539312744142,17663.094717407228,-507.88616666,110600,110800,150,1108,100.0,0.001,734
1072.4154565429687,22030.055482788084,-507.93213841,111000,111200,150,1112,100.0,0.001,737
1052.2874200439453,23055.747806396485,-507.85379327,111400,111600,150,1116,100.0,0.001,740
1051.3844610595704,15513.072294311523,-507.87340601,111800,112000,150,1120,100.0,0.001,742
1012.3901354980467,18123.853824768063,-508.1474113,112200,112400,150,1124,100.0,0.001,745
997.9291821289064,18196.50859863281,-508.10540275,112600,112800,150,1128,100.0,0.001,748
996.3050299072264,21509.427566528317,-508.25919353,113000,113200,150,1132,100.0,0.001,750
973.1870428466797,13652.697688598633,-508.15926053,113400,113600,150,1136,100.0,0.001,753
972.3949609375,20383.63547576904,-508.13806551,113800,114000,150,1140,100.0,0.001,756
962.2133978271485,15767.845141601565,-508.36915801,114200,114400,150,1144,100.0,0.001,758
942.487784423828,14416.812177734375,-508.22041677,114600,114800,150,1148,100.0,0.001,761
941.9480822753908,21871.6822253418,-508.15525336,115000,115200,150,1152,100.0,0.001,763
934.0448181152344,18060.15045501709,-508.0767863,115400,115600,150,1156,100.0,0.001,766
923.4539398193359,16822.84838531494,-507.88573286,115800,116000,150,1160,100.0,0.001,769
914.241558227539,15883.310821533203,-507.78550712,116200,116400,150,1164,100.0,0.001,771
893.8895330810547,18562.10826965332,-507.71309629,116600,116800,150,1168,100.0,0.001,774
