train/explained_variance,train/entropy_loss,train/std,train/policy_loss,time/total_timesteps,time/time_elapsed,time/iterations,train/learning_rate,train/n_updates,rollout/ep_rew_mean,train/value_loss,rollout/ep_len_mean,time/fps
0.0,-5.366455078125,1.4538129568099976,-2159.49609375,77500,192,15500,0.0007,15499,-13211.75106406,155497.875,100.0,402
0.0,-5.361186504364014,1.45179545879364,-1930.3797607421875,78000,193,15600,0.0007,15599,-13210.444516720005,162372.828125,100.0,402
0.0,-5.360870361328125,1.4504199028015137,-2384.505615234375,78500,195,15700,0.0007,15699,-13209.80865206,155042.109375,100.0,402
0.0,-5.3620781898498535,1.45091712474823,-2194.60693359375,79000,196,15800,0.0007,15799,-13227.26658989,159779.0,100.0,402
0.0,-5.3920931816101065,1.4667648077011108,-1970.2076416015625,79500,197,15900,0.0007,15899,-13253.53914199,159464.25,100.0,402
-1.1920928955078125e-07,-5.413247585296631,1.4773772954940796,-2031.5980224609373,80000,198,16000,0.0007,15999,-13279.336292430002,159030.984375,100.0,402
5.960464477539063e-08,-5.41937780380249,1.4807720184326172,-2124.91845703125,80500,200,16100,0.0007,16099,-13306.112171300005,161834.828125,100.0,402
0.0,-5.423670768737793,1.4837052822113037,-2042.875,81000,201,16200,0.0007,16199,-13332.035693999998,157373.015625,100.0,402
0.0,-5.428106307983398,1.48688542842865,-1651.9332275390625,81500,202,16300,0.0007,16299,-13330.597626040002,161618.40625,100.0,402
0.0,-5.4475836753845215,1.4953958988189695,-1875.290283203125,82000,203,16400,0.0007,16399,-13323.06529514,151198.375,100.0,402
0.0,-5.44042444229126,1.4914249181747437,-2047.401611328125,82500,205,16500,0.0007,16499,-13320.43092996,157323.078125,100.0,402
0.0,-5.456313133239746,1.4993900060653689,-2034.5032958984373,83000,206,16600,0.0007,16599,-13317.85808864,161296.578125,100.0,402
5.960464477539063e-08,-5.446553707122803,1.4940800666809082,-2155.471923828125,83500,207,16700,0.0007,16699,-13326.82096642,158808.453125,100.0,402
0.0,-5.456567764282227,1.5002330541610718,-1832.7186279296875,84000,208,16800,0.0007,16799,-13332.88549987,161082.328125,100.0,402
0.0,-5.4685163497924805,1.5050463676452637,-2150.823974609375,84500,209,16900,0.0007,16899,-13341.0349532,160976.5,100.0,402
0.0,-5.4690375328063965,1.5062105655670166,-1689.8421630859375,85000,211,17000,0.0007,16999,-13344.60230243,160870.046875,100.0,402
-1.1920928955078125e-07,-5.47815465927124,1.5097837448120115,-1707.669189453125,85500,212,17100,0.0007,17099,-13345.93930369,154019.859375,100.0,402
-1.1920928955078125e-07,-5.4658241271972665,1.5027908086776731,-1996.8072509765625,86000,213,17200,0.0007,17199,-13346.899699990005,154095.125,100.0,402
-1.1920928955078125e-07,-5.473777294158936,1.5072567462921145,-1792.9598388671875,86500,214,17300,0.0007,17299,-13337.862024589998,153172.15625,100.0,402
0.0,-5.4773268699646,1.5095927715301514,-1809.0322265625,87000,216,17400,0.0007,17399,-13336.04142422,151188.171875,100.0,402
0.0,-5.4991774559021,1.5190708637237549,-2094.964599609375,87500,217,17500,0.0007,17499,-13336.136362079998,160335.75,100.0,402
0.0,-5.497698783874512,1.52037513256073,-1677.735595703125,88000,218,17600,0.0007,17599,-13334.384117200001,153515.109375,100.0,402
0.0,-5.513961791992188,1.5267586708068848,-1849.4605712890625,88500,219,17700,0.0007,17699,-13331.032820539998,154595.15625,100.0,402
0.0,-5.519209861755371,1.5293601751327517,-1832.4832763671875,89000,221,17800,0.0007,17799,-13327.31356428,160014.65625,100.0,402
