train/policy_loss,time/time_elapsed,time/fps,train/std,time/iterations,time/total_timesteps,train/value_loss,rollout/ep_rew_mean,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/learning_rate,train/n_updates
0.03641587123274803,2737,505,0.8220362067222595,276700,1383500,0.0005210787057876587,-172.0,1.0,nan,-1.8055683374404907,0.0007,276699
0.11315536499023438,2738,505,0.830895185470581,276800,1384000,0.002295617014169693,-172.0,1.0,nan,-1.812292456626892,0.0007,276799
-0.03868269920349121,2739,505,0.8266898989677429,276900,1384500,0.0009436566615477204,-172.0,1.0,nan,-1.805314064025879,0.0007,276899
-0.03350657969713211,2740,505,0.8293378353118896,277000,1385000,0.00020871647575404495,-172.0,1.0,nan,-1.8069416284561157,0.0007,276999
0.03982426971197128,2741,505,0.8321049213409424,277100,1385500,0.00048682931810617447,-172.0,1.0,nan,-1.8009761571884155,0.0007,277099
0.03866344317793846,2742,505,0.8386553525924683,277200,1386000,0.0008107060566544533,-172.0,1.0,nan,-1.8085075616836548,0.0007,277199
0.0464828796684742,2743,505,0.8431446552276611,277300,1386500,0.0009109461680054665,-172.0,1.0,nan,-1.8114475011825562,0.0007,277299
-0.033552590757608414,2744,505,0.846741795539856,277400,1387000,0.00045700022019445896,-172.0,1.0,nan,-1.824384331703186,0.0007,277399
0.0007282200385816395,2745,505,0.84666907787323,277500,1387500,1.2316741049289703e-07,-172.0,1.0,nan,-1.823299765586853,0.0007,277499
0.02767251990735531,2746,505,0.8365783095359802,277600,1388000,0.0001505054533481598,-172.0,1.0,nan,-1.8012077808380127,0.0007,277599
0.03076893649995327,2747,505,0.8325401544570923,277700,1388500,0.00046092295087873936,-172.0,1.0,nan,-1.803723931312561,0.0007,277699
-0.025441676378250122,2748,505,0.8408199548721313,277800,1389000,0.000287387752905488,-172.0,1.0,nan,-1.8185449838638306,0.0007,277799
0.06431468576192856,2749,505,0.8450250029563904,277900,1389500,0.0016043487703427672,-172.0,1.0,nan,-1.8148630857467651,0.0007,277899
-0.04794522747397423,2750,505,0.8509055376052856,278000,1390000,0.0008308144169859588,-172.0,1.0,nan,-1.8186206817626953,0.0007,277999
-0.008440162986516953,2751,505,0.8536048531532288,278100,1390500,2.8848648071289062e-05,-172.0,1.0,nan,-1.8231204748153687,0.0007,278099
0.02944616973400116,2752,505,0.8578504323959351,278200,1391000,0.00013905111700296402,-172.0,1.0,nan,-1.8354164361953735,0.0007,278199
-0.06945601850748062,2753,505,0.8586720824241638,278300,1391500,0.0016797790303826332,-172.0,1.0,nan,-1.849375605583191,0.0007,278299
0.08196768164634705,2754,505,0.8635503053665161,278400,1392000,0.0017345011001452804,-172.0,1.0,nan,-1.8444327116012573,0.0007,278399
