train/entropy_loss,rollout/ep_len_mean,time/time_elapsed,train/policy_loss,time/iterations,rollout/ep_rew_mean,time/fps,train/learning_rate,train/explained_variance,time/total_timesteps,train/std,train/n_updates,train/value_loss
-5.3171916007995605,100.0,163,-281.22216796875,17000,-3447.76825658,520,0.0007,0.0,85000,1.4308226108551023,16999,3151.512451171875
-5.294797897338867,100.0,164,-200.078125,17100,-3439.92825657,520,0.0007,0.0,85500,1.4204955101013184,17099,1925.430908203125
-5.312079906463623,100.0,165,-220.0869445800781,17200,-3460.06273812,520,0.0007,0.0,86000,1.4283525943756104,17199,2281.82470703125
-5.294749736785889,100.0,166,-634.4068603515625,17300,-3475.99144142,520,0.0007,0.0,86500,1.4185560941696167,17299,13840.197265625
-5.280792236328125,100.0,167,-1057.0247802734377,17400,-3490.6295850699994,520,0.0007,0.0,87000,1.4131484031677246,17399,50619.90234375
-5.2801551818847665,100.0,168,-1968.0745849609373,17500,-3633.4430994400004,520,0.0007,0.0,87500,1.4125573635101318,17499,135502.296875
-5.278231143951416,100.0,168,-1064.396240234375,17600,-3775.48942944,520,0.0007,0.0,88000,1.411441206932068,17599,48354.765625
-5.274182319641113,100.0,169,-706.3124389648438,17700,-3798.274180699999,520,0.0007,-1.1920928955078125e-07,88500,1.410746932029724,17699,18784.826171875
-5.275641918182373,100.0,170,-216.7736358642578,17800,-3848.4221415600005,520,0.0007,0.0,89000,1.410867691040039,17799,1886.9422607421875
-5.257383346557617,100.0,171,-223.18716430664062,17900,-3900.976914820001,520,0.0007,0.0,89500,1.4039329290390017,17899,2136.353271484375
-5.284420967102051,100.0,172,-321.1698913574219,18000,-3928.6236297499995,520,0.0007,0.0,90000,1.4159406423568726,17999,2464.681396484375
-5.278885841369629,100.0,173,-201.960205078125,18100,-3945.145598359999,520,0.0007,0.0,90500,1.415252447128296,18099,1806.6214599609373
-5.266252517700195,100.0,174,-277.72848510742193,18200,-3974.05513861,520,0.0007,0.0,91000,1.408958911895752,18199,3413.324951171875
-5.25189733505249,100.0,175,-369.2214660644531,18300,-3995.0022544700014,520,0.0007,0.0,91500,1.401622653007507,18299,3504.501708984375
-5.254746437072754,100.0,176,-180.3196258544922,18400,-3945.28675963,520,0.0007,0.0,92000,1.4051541090011597,18399,1721.9820556640625
-5.277539253234863,100.0,177,-702.0050659179688,18500,-3891.64877057,520,0.0007,-1.1920928955078125e-07,92500,1.4136474132537842,18499,22210.88671875
-5.271125793457031,100.0,178,-269.47125244140625,18600,-3857.23122062,520,0.0007,0.0,93000,1.4100008010864258,18599,3357.868408203125
