train/n_updates,time/time_elapsed,time/episodes,train/critic_loss,train/learning_rate,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/actor_loss
100600,675,1008,68013.23103027344,0.001,149,-509.41090198,100.0,100800,1769.095009765625
101000,678,1012,76126.73288452148,0.001,149,-508.91584438,100.0,101200,1754.4163940429687
101400,680,1016,55754.88796508789,0.001,149,-508.81585605,100.0,101600,1729.7236840820312
101800,683,1020,59951.4570288086,0.001,149,-508.89701915,100.0,102000,1693.444638671875
102200,686,1024,65968.00916381838,0.001,149,-508.7683607,100.0,102400,1700.6904907226562
102600,689,1028,61981.942321777344,0.001,149,-508.54813315,100.0,102800,1687.115205078125
103000,691,1032,65412.452985839845,0.001,149,-508.38514589,100.0,103200,1649.63056640625
103400,694,1036,56083.81750366211,0.001,149,-508.40801711,100.0,103600,1632.2355834960938
103800,697,1040,67348.36052246093,0.001,149,-508.41402356,100.0,104000,1629.1183374023435
104200,699,1044,48643.49018432617,0.001,149,-508.62554655,100.0,104400,1629.249443359375
104600,702,1048,54042.042912597666,0.001,149,-508.44740254,100.0,104800,1593.94765625
105000,705,1052,60780.985867919924,0.001,149,-508.33716821,100.0,105200,1603.3541162109375
105400,707,1056,63574.490181884765,0.001,149,-508.4041392,100.0,105600,1578.5060034179687
105800,710,1060,69577.91202392578,0.001,149,-508.31844257,100.0,106000,1568.7349169921874
106200,713,1064,54449.23949584961,0.001,149,-508.22520654,100.0,106400,1556.179658203125
106600,715,1068,55262.06114746094,0.001,149,-509.53377944,100.0,106800,1549.9916333007816
107000,718,1072,47622.76130493164,0.001,149,-509.56036501,100.0,107200,1536.616904296875
107400,721,1076,39222.45647094727,0.001,149,-509.29500493,100.0,107600,1527.3618237304688
107800,723,1080,50169.90353515625,0.001,149,-509.17882633,100.0,108000,1520.4230395507811
108200,726,1084,53142.06114868164,0.001,149,-508.77151682,100.0,108400,1521.6056811523438
108600,729,1088,52658.86724243164,0.001,149,-508.65191079,100.0,108800,1494.9972827148438
109000,731,1092,47965.02106567383,0.001,149,-508.79111593,100.0,109200,1482.6105419921876
109400,734,1096,57332.66635253906,0.001,149,-509.08702708,100.0,109600,1475.80564453125
109800,737,1100,48381.83552246094,0.001,149,-507.83380056,100.0,110000,1473.7906469726565
110200,740,1104,55462.02064453125,0.001,149,-508.04240444,100.0,110400,1453.9193408203125
110600,742,1108,57690.54934448241,0.001,149,-507.83307901,100.0,110800,1446.8419897460938
111000,745,1112,53800.65586547852,0.001,149,-508.23179838,100.0,111200,1430.5263037109376
111400,748,1116,59295.932397460936,0.001,149,-508.35938773,100.0,111600,1399.9197827148434
111800,750,1120,56904.534487304685,0.001,149,-508.46494164,100.0,112000,1408.72263671875
112200,753,1124,43017.75572265625,0.001,149,-508.77865204,100.0,112400,1393.207463378906
112600,756,1128,47319.78714477539,0.001,149,-508.73134709,100.0,112800,1386.9940258789065
113000,758,1132,51287.007631835935,0.001,149,-508.84102633,100.0,113200,1385.8966333007813
113400,761,1136,51215.15849243164,0.001,149,-508.86394401,100.0,113600,1386.9671118164065
113800,764,1140,47168.90115661621,0.001,149,-508.85318038,100.0,114000,1339.6358837890625
114200,767,1144,45450.427042236326,0.001,149,-508.71102512,100.0,114400,1323.0083911132813
114600,769,1148,34689.32129882812,0.001,149,-508.75866866,100.0,114800,1311.9687646484374
115000,772,1152,42387.75690063476,0.001,149,-509.22714705,100.0,115200,1337.9427685546875
115400,775,1156,45737.83961791992,0.001,149,-509.35416729,100.0,115600,1327.0298706054687
115800,777,1160,40999.23333374024,0.001,149,-509.36062341,100.0,116000,1317.1625170898435
116200,780,1164,44239.0667956543,0.001,149,-509.24765637,100.0,116400,1300.8555590820313
