time/total_timesteps,time/episodes,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/n_updates,train/actor_loss,train/critic_loss,time/time_elapsed,train/learning_rate
97200,972,-5011.07703427,153,100.0,97000,3513.1743310546876,198619.20165527344,634,0.001
97600,976,-4786.02892116,153,100.0,97400,3525.87115234375,202806.63877685546,637,0.001
98000,980,-4731.900198899999,153,100.0,97800,3544.4290673828127,200136.0570727539,639,0.001
98400,984,-4540.80177729,153,100.0,98200,3520.90724609375,210681.84822021483,642,0.001
98800,988,-4534.707148900001,153,100.0,98600,3485.70447265625,199365.4545678711,645,0.001
99200,992,-4380.34372172,153,100.0,99000,3510.5263818359376,221564.80432617187,647,0.001
99600,996,-4486.16098885,153,100.0,99400,3509.5513134765624,180520.89290771485,650,0.001
100000,1000,-4440.1916229299995,153,100.0,99800,3506.08185546875,221086.6000488281,652,0.001
100400,1004,-4651.959866189999,153,100.0,100200,3525.4461962890623,129783.2878515625,655,0.001
100800,1008,-4705.93908635,153,100.0,100600,3512.6725341796873,213381.3705517578,658,0.001
101200,1012,-4719.90926511,153,100.0,101000,3495.3218994140625,221749.76536621095,660,0.001
101600,1016,-4669.6085089,153,100.0,101400,3490.6147900390624,189691.30822509766,663,0.001
102000,1020,-4485.24313769,153,100.0,101800,3493.7228515625,203061.23744140624,665,0.001
102400,1024,-4490.274760110001,153,100.0,102200,3489.8359423828124,160991.43235839845,668,0.001
102800,1028,-4452.0743932000005,153,100.0,102600,3450.0844921875,188889.3779296875,671,0.001
103200,1032,-4397.083142279999,153,100.0,103000,3403.5680322265625,188728.83443969727,673,0.001
103600,1036,-4408.874316240001,153,100.0,103400,3438.16154296875,180618.80416992187,676,0.001
104000,1040,-4573.833806819999,153,100.0,103800,3431.8389013671876,208959.6044506836,679,0.001
104400,1044,-4475.76758399,153,100.0,104200,3406.0272119140627,197143.80922607423,681,0.001
104800,1048,-4388.31054402,153,100.0,104600,3407.53953125,144208.1612866211,684,0.001
105200,1052,-4293.13099823,153,100.0,105000,3382.61341796875,212323.7610180664,686,0.001
105600,1056,-4101.18580477,153,100.0,105400,3357.1826513671876,218583.63325927735,689,0.001
106000,1060,-3890.29837236,153,100.0,105800,3352.418330078125,163527.21595458983,692,0.001
106400,1064,-3636.5857275800004,153,100.0,106200,3327.952724609375,200972.7294848633,694,0.001
106800,1068,-3530.2754441499997,153,100.0,106600,3321.290205078125,190629.6072680664,697,0.001
107200,1072,-3304.59355493,153,100.0,107000,3328.62103515625,172242.8041821289,699,0.001
107600,1076,-3171.4484302299998,153,100.0,107400,3308.662578125,118020.73879638672,702,0.001
108000,1080,-2977.92666208,153,100.0,107800,3287.629453125,172688.42896484374,705,0.001
108400,1084,-2782.7832940099997,153,100.0,108200,3287.23365234375,177944.34635498046,707,0.001
108800,1088,-2561.87683687,153,100.0,108600,3267.7882080078125,169441.31055664062,710,0.001
109200,1092,-2460.6528479500003,153,100.0,109000,3239.45037109375,185807.98271972657,712,0.001
109600,1096,-2258.49513284,153,100.0,109400,3233.152724609375,147799.58309570313,715,0.001
110000,1100,-2129.4493317200004,153,100.0,109800,3232.565849609375,147478.00431152343,718,0.001
110400,1104,-1851.26103162,153,100.0,110200,3191.707216796875,185788.79045410157,720,0.001
110800,1108,-1727.32607458,153,100.0,110600,3186.0684765625,156973.93658691406,723,0.001
111200,1112,-1474.06378394,153,100.0,111000,3163.5445703125,173278.74267089844,725,0.001
111600,1116,-1312.1312685900002,153,100.0,111400,3162.4305712890623,161551.27197265625,728,0.001
112000,1120,-1254.0141909,153,100.0,111800,3136.0941845703123,168310.95846435547,731,0.001
