rollout/ep_len_mean,time/total_timesteps,train/n_updates,time/episodes,time/fps,rollout/ep_rew_mean,train/actor_loss,train/critic_loss,time/time_elapsed,train/learning_rate
100.0,94800,94600,948,156,-16786.41169835,4876.779248046875,288203.1268994141,607,0.001
100.0,95200,95000,952,156,-16799.684969280002,4847.6123828125,381700.839008789,610,0.001
100.0,95600,95400,956,156,-16766.89558309,4855.326787109375,331094.6840087891,612,0.001
100.0,96000,95800,960,156,-16719.797593610005,4885.33193359375,312795.5461132813,615,0.001
100.0,96400,96200,964,156,-16736.32383493,4889.493037109375,310601.7596899414,617,0.001
100.0,96800,96600,968,156,-16727.687152500002,4863.570126953125,326253.7749462891,620,0.001
100.0,97200,97000,972,156,-16767.90122232,4861.594873046875,474222.4498046875,623,0.001
100.0,97600,97400,976,156,-16684.14745215,4889.55767578125,333249.9790527344,625,0.001
100.0,98000,97800,980,156,-16643.13295678,4895.41814453125,338879.90596191405,628,0.001
100.0,98400,98200,984,156,-16624.44164342,4938.386982421875,325648.1894970703,630,0.001
100.0,98800,98600,988,156,-16625.56984456,4915.344990234375,355654.170390625,633,0.001
100.0,99200,99000,992,156,-16626.689397200003,4896.20619140625,437742.2086083985,635,0.001
100.0,99600,99400,996,156,-16676.254401110004,4949.985966796875,307885.6756982422,638,0.001
100.0,100000,99800,1000,156,-16720.121111760003,4944.842646484375,415816.1643847656,641,0.001
100.0,100400,100200,1004,156,-16790.40050516,4976.633828125,271839.7372412109,643,0.001
100.0,100800,100600,1008,155,-16881.095188479998,4945.359189453125,348284.2522705078,646,0.001
100.0,101200,101000,1012,155,-16944.983218999994,4951.107939453125,425989.9774072266,648,0.001
100.0,101600,101400,1016,155,-16937.83140548,4981.53927734375,332156.1905297852,651,0.001
100.0,102000,101800,1020,155,-17009.690857420002,4982.9046875,322152.7970654297,653,0.001
100.0,102400,102200,1024,155,-17046.5588097,4987.231171875,358120.2523730469,656,0.001
100.0,102800,102600,1028,155,-17037.654086200004,4993.805673828125,339005.0433349609,659,0.001
100.0,103200,103000,1032,155,-17053.661099880002,5006.859755859375,313377.10588867194,661,0.001
100.0,103600,103400,1036,155,-17107.922935339993,5025.345830078125,326448.34513671877,664,0.001
100.0,104000,103800,1040,155,-17082.80139275,5022.142958984375,449669.540390625,666,0.001
100.0,104400,104200,1044,155,-17113.20177858,5019.40234375,341246.8130200196,669,0.001
100.0,104800,104600,1048,156,-17115.56626026,5041.3815234375,404210.0852880859,671,0.001
100.0,105200,105000,1052,156,-17119.94888658,5026.347255859375,402632.2353173828,674,0.001
100.0,105600,105400,1056,156,-17144.63104471,5038.91138671875,386183.3421875,676,0.001
100.0,106000,105800,1060,155,-17182.97486699,5096.7712109375,344932.0200488281,679,0.001
100.0,106400,106200,1064,155,-17151.8790965,5057.766005859375,348032.06073242193,682,0.001
100.0,106800,106600,1068,156,-17200.70773799,5061.659521484375,413739.2040185547,684,0.001
100.0,107200,107000,1072,156,-17235.52188241,5075.24154296875,392753.5354345704,687,0.001
100.0,107600,107400,1076,156,-17321.421339989996,5050.228271484375,430731.0985595703,689,0.001
100.0,108000,107800,1080,156,-17394.649921259996,5073.1858984375,350428.4370458985,692,0.001
100.0,108400,108200,1084,156,-17396.344896030005,5062.547724609375,392591.71609375,694,0.001
100.0,108800,108600,1088,155,-17397.64211586,5096.40265625,368907.5574121094,697,0.001
100.0,109200,109000,1092,155,-17334.692539390002,5057.090751953125,409084.7531689453,700,0.001
