rollout/ep_rew_mean,time/iterations,train/explained_variance,train/std,train/policy_loss,train/n_updates,train/entropy_loss,time/fps,rollout/ep_len_mean,time/time_elapsed,time/total_timesteps,train/value_loss,train/learning_rate
-33208.17889458999,17300,0.0,1.284372091293335,-4800.17724609375,17299,-5.000237464904785,486,100.0,177,86500,1156557.625,0.0007
-33426.95954381999,17400,0.0,1.2869524955749512,-5635.06201171875,17399,-5.009777069091797,486,100.0,178,87000,1166578.625,0.0007
-33569.9692254,17500,-2.384185791015625e-07,1.2891511917114258,-4918.28271484375,17499,-5.012908458709717,486,100.0,179,87500,1085319.375,0.0007
-33671.37134394,17600,0.0,1.2949846982955933,-4962.94482421875,17599,-5.02618408203125,486,100.0,180,88000,972877.0,0.0007
-33763.67339743,17700,0.0,1.3021382093429563,-4550.7314453125,17699,-5.042785167694092,486,100.0,181,88500,850569.3125,0.0007
-33822.88818681,17800,0.0,1.3088481426239014,-4243.29931640625,17799,-5.059659481048584,486,100.0,182,89000,967471.4375,0.0007
-33944.833458550005,17900,0.0,1.3025975227355957,-4749.13623046875,17899,-5.0478057861328125,486,100.0,184,89500,788189.9375,0.0007
-33990.93117987,18000,1.1920928955078125e-07,1.3044812679290771,-3918.232177734375,17999,-5.0482177734375,486,100.0,185,90000,860094.4375,0.0007
-34035.27001985999,18100,0.0,1.3028335571289062,-4930.68115234375,18099,-5.0448265075683585,486,100.0,186,90500,1011807.0,0.0007
-34067.42888222,18200,0.0,1.301255464553833,-4640.234375,18199,-5.039973735809326,486,100.0,187,91000,887364.3125,0.0007
-34074.92353381,18300,1.1920928955078125e-07,1.3018815517425537,-3173.23828125,18299,-5.041762828826903,486,100.0,188,91500,511047.75,0.0007
-34119.10388163,18400,-1.1920928955078125e-07,1.3058524131774902,-3879.61376953125,18399,-5.048375129699707,486,100.0,189,92000,1094221.0,0.0007
-34149.33082458,18500,1.7881393432617188e-07,1.302558660507202,-4115.80029296875,18499,-5.0444655418396,486,100.0,190,92500,629696.6875,0.0007
-34176.60987728,18600,-1.1920928955078125e-07,1.3042223453521729,-3094.94580078125,18599,-5.047098159790039,486,100.0,191,93000,657542.1875,0.0007
-34174.41797510999,18700,0.0,1.32371187210083,-4777.96484375,18699,-5.093869209289551,486,100.0,192,93500,815202.4375,0.0007
