time/time_elapsed,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/critic_loss,time/fps,time/episodes,train/learning_rate,train/n_updates,train/actor_loss
701,107200,100.0,-7461.397860620001,92908.42756591797,152,1072,0.001,107000,3144.287375488281
704,107600,100.0,-7180.114042679999,92387.94075561523,152,1076,0.001,107400,3091.126931152344
707,108000,100.0,-7196.5622649,95803.67494262695,152,1080,0.001,107800,3027.9219165039062
709,108400,100.0,-7241.92552703,75639.69616943358,152,1084,0.001,108200,2985.4127001953125
712,108800,100.0,-7052.53592728,85813.28502990723,152,1088,0.001,108600,2957.135517578125
715,109200,100.0,-7187.78563732,72896.49081359862,152,1092,0.001,109000,2915.350773925781
717,109600,100.0,-7338.34124337,79916.00331054688,152,1096,0.001,109400,2847.8453540039063
720,110000,100.0,-7377.91255377,73660.85162109375,152,1100,0.001,109800,2813.764521484375
722,110400,100.0,-7240.44375142,91367.4797631836,152,1104,0.001,110200,2767.8558374023437
725,110800,100.0,-7231.852390800001,67454.42332641601,152,1108,0.001,110600,2734.01658203125
728,111200,100.0,-7341.98944232,72300.98299499512,152,1112,0.001,111000,2701.3223486328125
730,111600,100.0,-7391.087914160001,62514.62405151368,152,1116,0.001,111400,2683.7512426757808
733,112000,100.0,-7548.40966629,55665.461581420896,152,1120,0.001,111800,2652.632004394531
735,112400,100.0,-7556.542446699999,64819.30633666992,152,1124,0.001,112200,2616.064375
738,112800,100.0,-7555.8990042099995,68472.87781982422,152,1128,0.001,112600,2583.6574829101564
741,113200,100.0,-7555.118347199999,67186.94166137696,152,1132,0.001,113000,2537.052177734375
743,113600,100.0,-7552.8124417,59214.246549072275,152,1136,0.001,113400,2506.79740234375
746,114000,100.0,-7540.711682810001,58969.925299072274,152,1140,0.001,113800,2473.385554199219
748,114400,100.0,-7454.43937595,65257.16974487305,152,1144,0.001,114200,2445.1020825195315
751,114800,100.0,-7279.768335979999,56490.07440917969,152,1148,0.001,114600,2409.462844238281
754,115200,100.0,-7208.81970487,53728.33130859375,152,1152,0.001,115000,2373.7243701171874
756,115600,100.0,-7128.4713192300005,60440.831290283204,152,1156,0.001,115400,2363.6049682617186
759,116000,100.0,-7053.2679128400005,49816.83232788086,152,1160,0.001,115800,2351.355964355469
762,116400,100.0,-7045.28996495,51984.039685058604,152,1164,0.001,116200,2324.563818359375
764,116800,100.0,-6878.002504790001,54808.49304626465,152,1168,0.001,116600,2283.727985839844
767,117200,100.0,-6740.82944604,47317.05673095703,152,1172,0.001,117000,2270.5288012695314
769,117600,100.0,-6691.52697873,46470.181452636716,152,1176,0.001,117400,2271.6180810546875
772,118000,100.0,-6531.49935647,60366.534537963875,152,1180,0.001,117800,2236.12294921875
775,118400,100.0,-6488.7440682199995,52060.73246276855,152,1184,0.001,118200,2230.6907458496094
777,118800,100.0,-6389.5262594,56553.03295227051,152,1188,0.001,118600,2209.2977392578123
780,119200,100.0,-6122.20233765,50355.355072021484,152,1192,0.001,119000,2192.763068847656
783,119600,100.0,-5907.2244339399995,52259.78752258301,152,1196,0.001,119400,2178.25841796875
785,120000,100.0,-5680.14409399,64111.06954711914,152,1200,0.001,119800,2154.094637451172
